permno,ticker,cik,business_name
10001,EGAS,43350,Gas Natural Inc.
10025,AEPI,785787,Aep Industries Inc
10028,DGSE,701719,Dgse Companies Inc
10044,RMCF,1616262,"Rocky Mountain Chocolate Factory, Inc."
10092,KDE,58592,4 Kids Entertainment Inc
10100,ALRN,774517,American Learning Corp
10116,ACUR,786947,"Acura Pharmaceuticals, Inc"
10158,AMRC,1488139,"Ameresco, Inc."
10163,XRIT,790818,X Rite Inc
10205,LSBX,1143848,Lsb Corp
10223,CIS,1487295,Camelot Information Systems Inc.
10232,ESBK,877808,Elmira Savings & Loan Fa /Ta
10239,PTVCB,9346,Protective Insurance Corp
10253,DSS,771999,Document Security Systems Inc
10257,DLHC,785557,Dlh Holdings Corp.
10259,SIGM,790715,Sigma Designs Inc
10294,HVT,216085,Haverty Furniture Companies Inc
10297,LSBG,846931,Lake Sunapee Bank Group
10304,AMFI,714756,Amcore Financial Inc
18132,YI,1738906,"111, Inc."
10353,SXCL,709804,Steel Excel Inc.
10355,DJCO,783412,Daily Journal Corp
10371,CLZR,793279,Candela Corp /De/
10404,DINE,78536,Rewards Network Inc
10443,FRPH,844059,"Frp Holdings, Inc."
10463,REFR,793524,Research Frontiers Inc
10507,MDCI,748270,Medical Action Industries Inc
10514,TWMC,795212,Trans World Entertainment Corp
10547,CLFD,796505,Apa Optics Inc /Mn/
10550,PDEX,788920,Pro Dex Inc
10563,HRZB,1002682,Horizon Financial Corp
10568,SERV,1923,"Servidyne, Inc."
10597,FEP,356841,Franklin Electronic Publishers Inc
10638,HNBC,702902,Harleysville National Corp
10644,TGX,795551,Theragenics Corp
10645,LAKE,798081,Lakeland Industries Inc
10649,PTSI,798287,Pam Transportation Services Inc
10656,ACET,2034,Aceto Corp
10661,CYAN,768408,Cyanotech Corp
10667,FSYS,1340786,"Fuel Systems Solutions, Inc."
10769,CEBK,1076394,Multiple Result Found
10772,SED,800286,Sed International Holdings Inc
18317,QFIN,1741530,"Finance, Inc."
10781,BKSC,1007273,Bank Of South Carolina Corp
10785,CAMD,800460,California Micro Devices Corp
10822,GAN,786344,Gainsco Inc
10825,TSFG,797871,Carolina First Corp
10838,CYTR,799698,Cytrx Corp
10886,DXYN,29332,Dixie Group Inc
10901,ITIC,720858,Investors Title Co
10913,FFKT,713095,Farmers Capital Bank Corp
11006,FLIC,740663,First Of Long Island Corp
11038,NWK,752431,Network Equipment Technologies Inc
11043,PMD,806517,Psychemedics Corp
11048,EPG,805012,Environmental Power Corp
11131,ASBI,855574,Ameriana Bancorp
11132,SYNO,780127,Synovis Life Technologies Inc
11137,PARL,802356,Parlux Fragrances Inc
11154,PLAB,810136,Photronics Inc
11157,AIM,109471,Aerosonic Corp /De/
11161,JEN,806817,Jennifer Convertibles Inc
11162,MESA,810332,Mesa Airlines Inc
11174,CRMT,1175908,Americas Car Mart Inc
11208,OFG,1030469,Ofg Bancorp
11246,CFNB,803016,California First National Bancorp
11292,ICCC,811641,Immucell Corp /De/
11348,CNBKA,812348,Multiple Result Found
11368,AIRT,353184,Air T Inc
11379,DXLG,813298,Designs Inc
11393,SWTX,813619,Southwall Technologies Inc /De/
11394,KOOL,811212,Cesca Therapeutics Inc.
11402,DRJ,810829,Dreams Inc
11426,XETA,742550,Xeta Technologies Inc
11441,NHLD,1023844,National Holdings Corp
11456,ALAN,98618,Alanco Technologies Inc
11499,CECE,3197,Ceco Environmental Corp
11506,FSBI,769207,Multiple Result Found
11510,BNHNA,935226,Benihana Inc
11511,CPSH,814676,Cps Technologies Corp/De/
11513,FFKY,854395,First Financial Service Corp
11565,HBNC,706129,Multiple Result Found
11593,SNFCA,318673,Security National Financial Corp
11652,HARL,1107160,Harleysville Savings Financial Corp
11654,NAII,787253,Natural Alternatives International Inc
11701,IMKTA,50493,Multiple Result Found
11748,DGICB,800457,Donegal Group Inc
11775,JOUT,788329,Johnson Outdoors Inc
11781,TIGR,820738,Tigerlogic Corp
11790,ALCO,3545,Alico Inc
11803,MITK,807863,Mitek Systems Inc
11825,CYBE,768411,Cyberoptics Corp
11839,MFLR,1381639,Mayflower Bancorp Inc
11847,FFHS,742161,First Franklin Corp
11866,INCB,867493,Indiana Community Bancorp
11873,DISK,216324,Image Entertainment Inc
11903,NOIZ,820097,Multiple Result Found
11908,EDCI,808918,"Edci Holdings, Inc."
11910,TEAM,805054,Techteam Global Inc
11917,PTEC,832767,Phoenix Technologies Ltd
11923,ADG,3952,Allied Defense Group Inc
11993,LPH,1111817,Longwei Petroleum Investment Holding Ltd
12007,WMLP,1412347,"Westmoreland Resource Partners, Lp"
12014,CBP,926844,China Botanic Pharmaceutical
12017,XSPA,1410428,"Xpresspa Group, Inc."
12018,LINU,1417754,Liniu Technology Group
12021,AMAP,1489895,Autonavi Holdings Ltd
12023,ABAC,1486299,"Renmin Tianli Group, Inc."
12027,SMT,1489147,Multiple Result Found
12030,THTI,1375686,"Tht Heat Transfer Technology, Inc."
10349,AMFI,714756,Amcore Financial Inc
12038,AMBO,1494558,Ambow Education Holding Ltd.
12043,KH,1495660,China Kanghui Holdings
12056,NEWN,1144320,New Energy Systems Group
12057,REE,1419806,Rare Element Resources Ltd
12063,PARD,755806,"Poniard Pharmaceuticals, Inc."
12070,WSR,1175535,Multiple Result Found
18250,ARYA,1746037,Arya Sciences Acquisition Corp.
12078,ELMD,1173005,Electromed Inc
12080,GMAN,1490636,"Gordmans Stores, Inc."
12081,MDMD,1275791,Mediamind Technologies Inc.
12085,PATH,1375200,Multiple Result Found
12088,PSTB,1507277,Park Sterling Corp
12090,TSRX,1356857,Trius Therapeutics Inc
12097,CCSC,1499934,"Country Style Cooking Restaurant Chain Co., Ltd."
12101,ELT,1492261,Elster Group Se
12104,HBP,1305591,Helix Biopharma Corp
12106,WSB,1415022,Wsb Holdings Inc
12141,ALTA,1442999,Jedediah Resources Corp.
12146,CSBR,771856,"Champions Oncology, Inc."
12149,JNP,821995,Juniper Pharmaceuticals Inc
12166,FRBK,834285,Republic First Bancorp Inc
12169,DRL,840889,Doral Financial Corp
12175,GNI,43410,Great Northern Iron Ore Properties
12188,EAR,821536,Hearusa Inc
90631,AIXG,1089496,Aixtron Se
12190,TORM,842295,Tor Minerals International Inc
12209,LWAY,814586,Lifeway Foods Inc
12214,LOGC,802851,Logic Devices Inc
12248,PWX,831968,Providence & Worcester Railroad Co/Ri/
12266,CDMO,704562,"Avid Bioservices, Inc."
12269,TKS,838877,Tomkins Plc
12291,RNO,1490630,Rhino Resource Partners Lp
12309,FULL,1490013,Full Circle Capital Corp
12310,HGSH,1158420,China Hgs Real Estate Inc.
12311,KEYP,1326396,"Keyuan Petrochemicals, Inc."
12312,SQI,1082526,Sciquest Com Inc
12323,CCG,1490983,"Campus Crest Communities, Inc."
12324,MY,1500689,China Ming Yang Wind Power Group Ltd
12325,DQ,1477641,Daqo New Energy Corp.
12329,EFC,1411342,Ellington Financial Llc
12331,GBAB,1495825,Guggenheim Build America Bonds Managed Duration Tr
12337,SHP,1499470,Shangpharma Corp
12340,TOWR,1485469,"Tower International, Inc."
12342,BOX,1487999,Seacube Container Leasing Ltd.
12348,BBRG,1495479,"Bravo Brio Restaurant Group, Inc."
12349,BODY,1379246,Body Central Corp
12350,NETE,1499961,Cazador Acquisition Corp Ltd.
12352,CCIH,1498576,Chinacache International Holdings Ltd.
12353,GAGA,1499506,Le Gaga Holdings Ltd
12354,GEDU,1500108,Global Education & Technology Group Ltd
12355,HRZN,1487428,Horizon Technology Finance Corp
12356,KEYW,1487101,Keyw Holding Corp
12357,MCOX,1501775,Mecox Lane Ltd
12358,NFEC,1213660,Global Broadcast Group Inc
12362,STND,1492915,Standard Financial Corp.
12367,DXF,1499494,China Xiniya Fashion Ltd
12380,PCYG,50471,Park City Group Inc
12388,SYSW,1497862,Syswin Inc.
12390,XUE,1499619,Xueda Education Group
12396,CTE,1502505,Sinotech Energy Ltd
12397,GLBS,1499780,Globus Maritime Ltd
12398,GNOM,1361103,Complete Genomics Inc
12399,IMRS,1489161,Imris Inc.
12401,LZEN,1489784,Lizhan Environmental Corp
12402,PRMW,1365101,Primo Water Corp
12403,RDA,1493637,"Rda Microelectronics, Inc."
12406,SPBC,1493182,"Sp Bancorp, Inc."
12409,SUNH,904978,Sun Healthcare Group Inc
12439,AVL,1362898,Avalon Rare Metals Inc.
12440,CTP,1439199,Ctpartners Executive Search Inc.
12444,DANG,1499744,E-Commerce China Dangdang Inc.
12446,GLBR,1499912,Fxcm Inc.
12450,FRF,1495925,Fortegra Financial Corp
12451,GCAP,1359652,Gain Capital Holdings Inc
12452,INFU,1337013,"Infusystem Holdings, Inc"
12454,ISS,1500308,Isoftstone Holdings Ltd
12455,LAS,1499673,Lentuo International Inc.
12479,AAC,1499593,Australia Acquisition Corp
12480,ACNB,715579,Acnb Corp
12481,BONA,1504796,Bona Film Group Ltd
12484,CPGI,1421561,China Shengda Packaging Group Inc.
12485,SIXD,1382219,Everton Capital Corp
12486,DYSL,30831,Dynasil Corp Of America
12487,HFBL,1302901,"Home Federal Bancorp, Inc. Of Louisiana"
12488,LEDS,1333822,Semileds Corp
12489,MOBI,1500252,Sky-Mobi Ltd
12492,OSN,1485538,Ossen Innovation Co. Ltd.
12495,SGOC,1412095,"Sgoco Group, Ltd."
12496,UNXL,1171012,Real Estatefor Lease Com Inc
12498,ANCB,1448301,Anchor Bancorp
12499,BCDS,1289814,Bcd Semiconductor Manufacturing Ltd
12500,DCIX,1481241,Diana Containerships Inc.
12501,FRP,1062613,Fairpoint Communications Inc
12502,OFED,1501078,Oconee Federal Financial Corp.
12505,OXLC,1495222,Oxford Lane Capital Corp.
12506,TBET,1489077,"Tibet Pharmaceuticals, Inc."
12509,WBKC,1500836,"Wolverine Bancorp, Inc."
12523,GNT,1438893,"Gabelli Natural Resources, Gold & Income Trust"
12527,IBIO,1420720,"Inb:Biotechnologies, Inc."
12528,MCC,1490349,Medley Capital Corp
12544,CDM,1423242,"China Century Dragon Media, Inc."
12556,GPL,1300050,Great Panther Silver Ltd
12557,EMG,1494448,"Imperial Holdings, Llc"
12559,NPTN,1227025,Multiple Result Found
12569,WRN,1364125,Western Copper & Gold Corp
12572,ZA,1501176,Zuoan Fashion Ltd
12573,ACRX,1427925,Acelrx Pharmaceuticals Inc
12574,BGMD,1407038,"Bg Medicine, Inc."
12576,EPOC,1096738,Epocrates Inc
12579,GEVO,1392380,Gevo Inc
12580,KIPS,1460198,"Kips Bay Medical, Inc."
12581,MODL,1441567,Mmodal Inc.
12582,PCOM,1204413,Points International Ltd
12584,SUNS,1508171,Solar Senior Capital Ltd.
12586,TBOW,1485933,Trunkbow International Holdings Ltd
12592,XTNT,1453593,"Xtant Medical Holdings, Inc."
12615,FF,1337298,Futurefuel Corp.
12629,MX,1325702,Multiple Result Found
12637,EOX,1283843,Wpt Enterprises Inc
12663,LON,1472619,Loncor Resources Inc.
12667,GNMX,1138776,"Aevi Genomic Medicine, Inc."
12668,APTS,1481832,Preferred Apartment Communities Inc
12680,SQNS,1383395,Sequans Communications
12682,TMS,1491501,Tms International Corp.
12687,TEU,1504795,Box Ships Inc.
12688,FRNK,1505823,Franklin Financial Corp
12690,GSVC,1509470,Gsv Capital Corp.
12692,MNEL,1463471,Mission Newenergy Ltd
12693,PFLT,1504619,Pennantpark Senior Floating Rate Fund Inc.
12698,OCRX,1338321,Ocera Therapeutics Inc
12751,FENG,1509646,Phoenix New Media Ltd
12755,QRM,1514341,Quest Rare Minerals Ltd.
12759,RENN,1509223,Renren Inc.
12760,RVM,1404592,"Revett Mining Company, Inc."
12783,THR,1489096,"Thermon Group Holdings, Inc."
12784,TTTM,1434589,"T3 Motion, Inc."
12789,AMPE,1411906,"Ampio Pharmaceuticals, Inc."
12791,DATE,1511683,Jiayuan.Com International Ltd
